claimReviewed,itemReviewed.datePublished,itemReviewed.type,author.name,author.jobTitle,author.affiliation.type,author.affiliation.name,title,subtitle,reviewRating.type,reviewRating.alternateName,reviewRating.color,postTerms.partyTermId,postTerms.ratingTermId,postTerms.claimerTermId,type,id,datePublished,url
"“Nadie planteó estas preguntas [si Ceuta y Melilla están protegidas por la OTAN] en el momento de la adhesión que, probablemente, es cuando había que haber planteado, ni a lo largo de estos 40 años con gobiernos de distinto signo”",2022-06-29,Claim,José Manuel Albares,"Ministro de Asuntos Exteriores, de Unión Europea y de Cooperación",Organization,PSOE,El debate sobre Ceuta y Melilla y su protección por la OTAN que Albares dice “que nadie había planteado” antes pese a que existe hace 40 años,"Desde que España se incorporó a la OTAN, el debate ha estado presente en el Congreso. En 1981 distintos partidos políticos ya reclamaban una mención específica a Ceuta y Melilla, y en 2011 y 2012 algunos partidos presentaron iniciativas para que se mencionaran en el tratado
",Rating,Falso,#f54242,98761,98750,112988,ClaimReview,335872,2022-07-01,https://www.newtral.es/jose-manuel-albares-ceuta-y-melilla-otan-factcheck/20220701/
"“El PP votó en contra de la bajada de la luz del 21% al 10% del IVA, de la luz”",2022-06-23,Claim,Félix Bolaños,"Ministro de la Presidencia, Relaciones con las Cortes y Memoria Democrática",Organization,PSOE,El PP se abstuvo en dos de las tres votaciones de la bajada del IVA de la electricidad al 10% aunque Bolaños dice que votó en contra,"Sus votos no fueron decisivos para la aprobación de la bajada del IVA de la luz en el Congreso, pero la formación de los populares se abstuvo en la primera votación de la medida
",Rating,Engañoso,#ff8433,98761,98754,113272,ClaimReview,333445,2022-06-28,https://www.newtral.es/pp-bajada-iva-electricidad-factcheck/20220628/
“Este IVA que ahora vamos a bajar del recibo de la luz es el mismo IVA que el PP subió del 10% al 21%”,2022-06-22,Claim,Felipe Sicilia,Portavoz de la Comisión Ejecutiva del PSOE,Organization,PSOE,"El PP subió el IVA del 18% al 21%, ocho puntos menos de lo que dice Felipe Sicilia","Los tipos del IVA se han ido modificando desde 1992, pero los populares solo lo subieron en una ocasión: en 2012
",Rating,Engañoso,#ff8433,98761,98754,98851,ClaimReview,333636,2022-06-24,https://www.newtral.es/subida-iva-felipe-sicilia-factcheck/20220624/
"“En un país en el que el salario medio anual es de 16.300 euros, ¿cómo cree que la gente puede llegar a comprar fruta en verano?”",2022-06-22,Claim,Gabriel Rufián,Portavoz de ERC en el Congreso,Organization,Esquerra Republicana de Catalunya,El sueldo medio en España es de 25.165 euros pese a que Rufián dice que es de 16.300,"Según los últimos datos del INE, relativos a 2020, el salario medio en España es 9.000 euros superior a lo que defendió el portavoz de ERC en el Congreso, Gabriel Rufián
",Rating,Engañoso,#ff8433,98887,98754,98850,ClaimReview,333242,2022-06-24,https://www.newtral.es/sueldo-medio-espana-rufian-salario-factcheck/20220624/
“El sector textil ha perdido más de 800.000 empleos”,2022-06-22,Claim,Patricia Rueda,Diputada,Organization,Vox,El sector textil nunca ha tenido 800.000 trabajadores aunque Patricia Rueda (Vox) dice que son los que ha perdido,"La cifra más alta registrada de trabajadores en la industria textil supera los 79.000 empleados, pero nunca ha llegado a ser de 800.000, según datos del INE
",Rating,Falso,#f54242,98768,98750,98814,ClaimReview,333324,2022-06-24,https://www.newtral.es/sector-textil-trabajadores-factcheck/20220624/
“Más del 50% de la inmigración que llega a España sigue siendo de Marruecos”,2022-06-17,Claim,Ana Vázquez Blanco,Diputada,Organization,Partido Popular,"Los marroquíes suponen el 12,9% de los inmigrantes en España pese a que Ana Vázquez (PP) dice que son la mitad","Ni los datos de la Organización Internacional para las Migraciones, ni los del INE, ni los del Ministerio de Inclusión, Seguridad Social y Migraciones validan la afirmación de Ana Vázquez
",Rating,Falso,#f54242,98757,98750,111506,ClaimReview,332246,2022-06-22,https://www.newtral.es/inmigrantes-marruecos-ana-vazquez/20220622/
"“Dos de las cinco escuelas de negocio mejores del mundo tienen sede en Barcelona""",2022-06-14,Claim,Oriol Junqueras,Presidente de Esquerra Republicana de Catalunya,Organization,ERC,"Las escuelas de negocios de Barcelona aparecen como “dos de las cinco” mejores en algunos 'rankings', pero no en todos","El ranking de formación ejecutiva del Financial Times y el de Forbes dan la razón a Junqueras, pero hay otras clasificaciones que no muestran dos escuelas de negocios de Barcelona entre las cinco mejores del mundo
",Rating,Verdad a medias,#ebe013,98758,98749,112658,ClaimReview,332810,2022-06-22,https://www.newtral.es/escuelas-negocios-barcelona-factcheck/20220622/
"“Gracias a los Presupuestos Generales del Estado del año pasado y de este año, tenemos presupuestados 27.000 millones de euros de fondos europeos para invertir en Cataluña”",2022-06-13,Claim,Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Organization,PSOE,Cataluña tiene presupuestados 3.886 millones de euros de fondos europeos y no 27.000 millones como afirma Calviño,"Hasta junio de 2022, a Cataluña se le han asignado 3.886 millones de euros. La cifra que da Calviño se aproxima a la financiación de todas las comunidades autónomas para 2021 y 2022, que llega a los 27.871
",Rating,Falso,#f54242,98761,98750,111683,ClaimReview,331960,2022-06-20,https://www.newtral.es/cataluna-fondos-europeos-factcheck/20220620/
"“Estoy encantada de estar en Palos de la Frontera, que es el municipio en el que hubo la primera alcaldesa de España”",2022-06-14,Claim,Cuca Gamarra,Diputada,Organization,Partido Popular,"Palos de la Frontera no tuvo la “primera alcaldesa” de España como dice Cuca Gamarra, fue la primera tras la muerte de Franco","Hay al menos ocho mujeres que fueron alcaldesas en España antes de que Pilar Pulgar llegara al consistorio de Palos de la Frontera
",Rating,Engañoso,#ff8433,98757,98754,98835,ClaimReview,330222,2022-06-17,https://www.newtral.es/fact-check-primera-alcaldesa-espana-cuca-gamarra/20220617/
"“En 2014, por ejemplo, [Andalucía] estuvimos en Sanidad en el puesto sexto del resto de comunidades autónomas”",2022-06-15,Claim,Juan Espadas,Secretario general del PSOE de Andalucía y candidato a la Presidencia de la Junta de Andalucía,Organization,PSOE,"Andalucía fue la comunidad que menos gastó en sanidad por habitante en 2014, pese a que Juan Espadas dice que fue la sexta que más","Desde 2002, la región andaluza ha estado entre las comunidades con menos gasto sanitario por habitante, tanto en los gobiernos del PSOE como ahora con el de PP y Ciudadanos
",Rating,Falso,#f54242,98761,98750,113164,ClaimReview,330055,2022-06-17,https://www.newtral.es/gasto-sanitario-andalucia-juan-espadas/20220617/
"“Todo el mundo ha visto cómo se han aprobado unos presupuestos por primera vez el 1 de enero, que nunca se había hecho”",2022-06-12,Claim,Josep Rius,Portavoz de Junts per Catalunya,Organization,Junts per Catalunya,No es la “primera vez” que los presupuestos de la Generalitat se aprueban antes del 1 de enero: ya había sido así en 19 ocasiones,"Los últimos presupuestos de Catalunya entraron en vigor en enero, algo que no pasaba desde 2010, pero antes era la tónica habitual
",Rating,Engañoso,#ff8433,98756,98754,113212,ClaimReview,330063,2022-06-16,https://www.newtral.es/presupuestos-catalunya-enero-factcheck/20220616/
“Industrialización sostenible significa el cierre de empresas andaluzas y su deslocalización a China o a la India. 713 empresas se marcharon de Andalucía en 2021”,2022-06-13,Claim,Macarena Olona,Diputada,Organization,Vox,"Olona dice que 713 empresas se han marchado de Andalucía, pero omite que llegaron otras 543","La candidata utiliza un informe sobre traslado de empresas entre comunidades autónomas para cuestionar las políticas de industrialización sostenible que obligan a las sociedades a deslocalizarse “a China o a la India” 
",Rating,Engañoso,#ff8433,98768,98754,112071,ClaimReview,329148,2022-06-16,https://www.newtral.es/empresas-salieron-andalucia-factcheck/20220616/
"“Tenemos un mismo objetivo, que es la mejora de la educación del país, y nosotros lo hemos demostrado, insisto, con un presupuesto que ha tenido el incremento más grande de la historia en ámbito educativo”",2022-06-09,Claim,Pere Aragonès,President de la Generalitat,Organization,ERC,"El presupuesto de Educación de Cataluña en 2022 ha tenido el mayor incremento en valores absolutos, pero es el noveno en términos porcentuales","Aunque el presupuesto educativo experimentó su mayor aumento de la historia, en proporción, hay otros ocho años en los que el incremento fue superior
",Rating,Engañoso,#ff8433,98758,98754,111537,ClaimReview,329423,2022-06-16,https://www.newtral.es/presupuesto-educacion-catalunya-factcheck/20220616/
"[¿Quién está imputado?] “La señora Crespo, que tiene la declaración suspendida”",2022-06-13,Claim,Inmaculada Nieto,Candidata a la Presidencia de Andalucía,Organization,Por Andalucía,La consejera de Agricultura de Andalucía no está imputada ni tiene su declaración “suspendida” pese a lo que dice Inma Nieto,"Desde el Tribunal Superior de Justicia de Andalucía afirman que Carmen Crespo, del Partido Popular, no está imputada en ninguna causa ni está siendo investigada. Tampoco llegó a declarar
",Rating,Engañoso,#ff8433,113188,98754,113187,ClaimReview,329399,2022-06-15,https://www.newtral.es/carmen-crespo-imputada-investigada-inmaculada-nieto-factcheck/20220615/
"“Andalucía tiene el menor gasto sanitario público de España por habitante. Esta es la Andalucía real, la que Moreno Bonilla quiere ocultar a base de propaganda”",2022-06-10,Claim,PSOE Andalucía,,Organization,PSOE,El PSOE dice que Andalucía está entre las últimas en inversión en sanidad pero ya ocupaba esa posición en gobiernos socialistas,"Desde el PSOE critican que, en 2020, Andalucía fuera la comunidad autónoma en la que menos se invertía por habitante en sanidad. Sin embargo, durante los Gobiernos socialistas también lideró este ranking
",Rating,Verdad a medias,#ebe013,98761,98749,113174,ClaimReview,329193,2022-06-15,https://www.newtral.es/inversion-sanidad-andalucia-psoe/20220615/
“Un abrazo muy cariñoso a las casi dos millones de mujeres que en algún momento de su vida han sido víctimas de la violencia machista en Andalucía”,2022-06-06,Claim,Inmaculada Nieto,Candidata a la Presidencia de Andalucía,Organization,Por Andalucía,El dato de los “dos millones de mujeres” víctimas de violencia machista en Andalucía es un cálculo de Inma Nieto y no una cifra oficial,"La candidata de Por Andalucía para presidir la Junta utilizó datos de una macroencuesta de 2019, extrapolando y sumando datos de una manera que, estadísticamente, es incorrecta según expertas
",Rating,Engañoso,#ff8433,113188,98754,113187,ClaimReview,327577,2022-06-10,https://www.newtral.es/violencia-machista-andalucia-inma-nieto/20220610/
“En 2021 Andalucía ha sido la segunda comunidad autónoma donde más crecieron las exportaciones y  ocupamos la tercera posición en el ‘ranking’ nacional”,2022-05-27,Claim,PP Andalucía,,,,Programa electoral del PP en Andalucía: datos erróneos de exportaciones,"Andalucía es la cuarta comunidad autónoma donde más crecieron las exportaciones durante el año 2021, no la segunda, como ha escrito el PP en su programa electoral. Sí es la tercera región en el ‘ranking’ nacional de exportaciones. 
",Rating,Engañoso,#ff8433,98757,98754,113195,ClaimReview,328133,2022-06-10,https://www.newtral.es/exportaciones-andalucia-pp/20220610/
"“Le hemos intentado reprobar dos veces [al consejero Josep González-Cambray] y, con toda sinceridad le digo, el PSC lo ha salvado las dos veces”",2022-05-26,Claim,Jéssica Albiach,Presidenta de En Comú Podem en el Parlament de Catalunya,Organization,En Comú Podem,"Los Comunes se abstuvieron en dos reprobaciones al consejero de Educación catalán y solo propusieron una, a diferencia de lo que afirma Albiach","Tanto en marzo como en abril, el PSC y los Comunes se abstuvieron en dos peticiones de reprobación al consejero catalán Josep González-Cambray
",Rating,Engañoso,#ff8433,111547,98754,111546,ClaimReview,327253,2022-06-09,https://www.newtral.es/reprobacion-cambray-comunes-factcheck/20220609/
"“Ya estamos pagando la prima de riesgo a 250 puntos, la prima de riesgo más alta desde verano de 2014”",2022-06-07,Claim,Alberto Núñez Feijóo,Presidente de Galicia,Organization,Partido Popular,"La prima de riesgo de España está a 112 puntos, no a 250 como dice Feijóo","Feijóo expuso en el Senado que la prima de riesgo de España había llegado a 250 puntos, “la prima de riesgo más alta desde verano de 2014”, pero se encuentra casi 140 puntos por debajo
",Rating,Falso,#f54242,98757,98750,98779,ClaimReview,327129,2022-06-08,https://www.newtral.es/prima-de-riesgo-feijoo-factcheck/20220608/
"“Hemos superado a Cataluña en nuestros afiliados, con más de 567.000 autónomos en nuestra comunidad autónoma”",2022-06-06,Claim,Juan Marín,Vicepresidente de Andalucía,Organization,Ciudadanos,"Juan Marín dice que Andalucía supera a Cataluña en número de autónomos, pero no tiene en cuenta la población","Andalucía llegó a los 567.324 autónomos en mayo de 2022 mientras que Cataluña tuvo 7.207 autónomos menos. Pero al comparar estas cifras con la población se puede ver que Cataluña ocupa el puesto 9 en número de autónomos y Andalucía el 15 de todas las comunidades autónomas
",Rating,Verdad a medias,#ebe013,98755,98749,98823,ClaimReview,326979,2022-06-08,https://www.newtral.es/autonomos-andalucia-cataluna-juan-marin-factcheck/20220608/
"“Desde 2008 no hemos recuperado los niveles de inversión [en sanidad], teniendo en cuenta el IPC”",2022-06-06,Claim,Teresa Rodríguez,Candidata a la Presidencia de Andalucía ,Organization,Adelante Andalucía,La inversión sanitaria en Andalucía sí ha recuperado el nivel de 2008,"El gasto en sanidad cayó durante seis años consecutivos desde 2008, en coincidencia con el inicio de la crisis económica, pero a partir de 2015 comenzó a aumentar y en 2020 se invirtió un 15% más. Mientras, el IPC ha subido un 12,1%. 
",Rating,Falso,#f54242,98774,98750,98833,ClaimReview,327003,2022-06-08,https://www.newtral.es/inversion-sanitaria-andalucia-teresa-rodriguez/20220608/
"""Este es un libro que estudian los niños andaluces de Primaria en Andalucía, aprobado por ustedes, aprobado por ustedes en el ejercicio de la competencia de inspección""",2022-06-06,Claim,Macarena Olona,Diputada,Organization,Vox,El libro de texto que utilizó Olona en el debate electoral sí fue corregido  tras un proceso de inspección,"La candidata de Vox leyó el párrafo de un libro de texto para denunciar sus contenidos, pero se trata de una versión desactualizada, ya que fue editado a petición de la Inspección andaluza 
",Rating,Engañoso,#ff8433,98768,98754,112071,ClaimReview,326501,2022-06-08,https://www.newtral.es/libros-de-texto-macarena-olona/20220608/
“[Andalucía] es la comunidad con más víctimas del terrorismo de ETA”,2022-06-06,Claim,Juan Manuel Moreno,Presidente de Andalucía,Organization,Partido Popular,"Andalucía es la tercera comunidad con más víctimas de ETA, no la primera como dice Juanma Moreno","Pese a que 121 de las víctimas mortales de ETA son de origen andaluz, Andalucía no es la primera con más asesinados, sino la tercera, detrás de País Vasco, con 178, y Castilla y León, con 138
",Rating,Falso,#f54242,98757,98750,98838,ClaimReview,326613,2022-06-08,https://www.newtral.es/victimas-eta-andalucia-juanma-moreno-factcheck/20220608/
"""(Andalucía tiene) un 36% de paro juvenil de menos de 25 años. El doble que en el resto de España""",2022-06-06,Claim,Macarena Olona,Diputada,Organization,Vox,Andalucía no tiene “el doble” de paro juvenil que el resto de España como dice Macarena Olona,"Andalucía tiene una tasa de paro juvenil del 36,1%, 5,9 puntos por encima de la nacional y no “el doble” como dice la candidata de Vox. Es la tercera comunidad con peor dato después de Canarias y Extremadura
",Rating,Engañoso,#ff8433,98768,98754,112071,ClaimReview,326589,2022-06-08,https://www.newtral.es/paro-juvenil-andalucia-olona/20220608/
"“Andalucía lidera la destrucción de empleos, con 32 mil empleos menos en el trimestre que supone más del 30% nacional”",,Claim,PSOE Andalucía,,Organization,PSOE,Andalucía no lidera la destrucción de empleo en el último trimestre como afirma el PSOE,"En su programa, el partido compara los datos absolutos del primer trimestre de 2022 con los del último del 2021, pero la comparación no tiene en cuenta el peso poblacional ni la estacionalidad
",Rating,Engañoso,#ff8433,98761,98754,113174,ClaimReview,325990,2022-06-08,https://www.newtral.es/destruccion-empleo-andalucia-factcheck/20220608/
"“La bicicleta está muy bien, pero nunca dejará de representar el 3 o el 4% de la movilidad en cualquier metrópoli del mundo”",2022-05-26,Claim,Jaume Collboni,Primer teniente de alcaldía de Barcelona,Organization,PSC-PSOE,"Existen ciudades donde más del 4% de los desplazamientos se hacen en bicicleta, a diferencia de lo que afirma Collboni","Copenhague, con el 41% de la movilidad en bicicleta, Ámsterdam con el 30% o Tokio con el 17% están entre las ciudades que superan a Barcelona
",Rating,Falso,#f54242,110462,98750,113154,ClaimReview,326498,2022-06-07,https://www.newtral.es/movilidad-ciudades-bicicleta-collboni-factcheck/20220607/
“[En Andalucía] se ha producido un gravísimo descenso del peso de la industria. La industria ha retrocedido 10 años y se sitúa en niveles mínimos”,2022-05-18,Claim,PSOE Andalucía,,Organization,PSOE,"El peso de la industria retrocedió en Andalucía en 2020, pero ya ha vuelto a niveles previos a la pandemia","El peso de la industria en Andalucía, medido a través del valor añadido bruto, retrocedió en 2020 a valores de 2009, pero en 2021 recuperó cifras prepandemia y alcanzó el segundo mayor valor desde 2012
",Rating,Engañoso,#ff8433,98761,98754,113174,ClaimReview,325964,2022-06-07,https://www.newtral.es/retroceso-industria-andalucia-psoe-factcheck/20220607/
"“[...] Andalucía, que perdía entre 1.000 y 2.000 habitantes al año, ahora haya ganado 80.000 habitantes”",2022-06-01,Claim,Juan Manuel Moreno,Presidente de Andalucía,Organization,Partido Popular,La población de Andalucía comenzó a crecer antes de que gobernara el PP,"En 2013, el número de personas empadronadas en la región andaluza comenzó a descender, pero cuatro años después, se revirtió esta tendencia y Andalucía empezó a recuperar población antes de la llegada del actual gobierno
",Rating,Engañoso,#ff8433,98757,98754,98838,ClaimReview,324667,2022-06-06,https://www.newtral.es/poblacion-andalucia-juanma-moreno/20220606/
"""El 63,5% del empleo creado en Andalucía en el último año es femenino, 17 puntos por encima de la media nacional""",2022-05-31,Claim,Juan Manuel Moreno,Presidente de Andalucía,Organization,Partido Popular,"El peso del empleo femenino en Andalucía en el último año es superior a la media nacional, pero no tanto como dice Juanma Moreno","El 63,5% del empleo creado en Andalucía en el último año fue femenino, a nivel nacional fue el 53,7% por lo que esta comunidad está casi diez puntos por encima pero no 17 como dice el presidente de la comunidad 
",Rating,Engañoso,#ff8433,98757,98754,98838,ClaimReview,325134,2022-06-03,https://www.newtral.es/empleo-femenino-en-andalucia/20220603/
"“Llevamos 90 reales decretos leyes que no se tramitan como leyes, sino que se aprueban y se dejan aparcados para que entren en vigor sine die y no se tramitan las leyes”",2022-06-02,Claim,Alberto Núñez Feijóo,Presidente de Galicia,Organization,Partido Popular,"La mitad de los decretos leyes aprobados por el Gobierno se han tramitado como proyectos de ley, no como dice Feijóo","De los 89 decretos leyes aprobados en las dos legislaturas de los gobiernos de Pedro Sánchez, 47 están tramitándose como proyectos de ley, como recoge la página web del Congreso de los Diputados
",Rating,Engañoso,#ff8433,98757,98754,98779,ClaimReview,325177,2022-06-03,https://www.newtral.es/real-decretos-leyes-gobierno-alberto-nunez-feijoo-factcheck/20220603/
"“En Madrid quien invierte es la Comunidad de Madrid y ahí está el Hospital Zendal, ahí está la línea 3 de metro, ahí está la enorme ampliación y renovación del Hospital 12 de Octubre”",2022-06-01,Claim,Javier Fernández-Lasquetty,Consejero de Hacienda de la Comunidad de Madrid,Organization,Partido Popular,Ni el Zendal ni la ampliación de la línea 3 de Metro se han construido con inversiones de la Comunidad de Madrid,"Las obras que menciona el consejero de Economía se han construido con el fondo covid activado por el Gobierno central y con los recursos europeos del programa de Recuperación y Resiliencia, no con inversión de la Comunidad de Madrid 
",Rating,Engañoso,#ff8433,98757,98754,113162,ClaimReview,324712,2022-06-03,https://www.newtral.es/inversiones-comunidad-madrid-factcheck/20220603/
"“Quiero recordar las imágenes de la ciudad cerrada por la covid con barrios de Barcelona, como el Raval o la Trinitat Nova, con más de un 50% de paro”",2022-05-26,Claim,Jaume Collboni,Primer teniente de alcaldía de Barcelona,Organization,PSC-PSOE,"Los barrios del Raval y Trinitat Nova tuvieron entre el 15 y el 20% de paro por el confinamiento, y no ""más del 50%"" como dice Collboni","El paro no superó el 13% en el Raval y el 16% en la Trinitat Nova entre marzo y julio de 2020, y no llegó al 20% en ningún barrio de la ciudad de Barcelona a lo largo del año
",Rating,Falso,#f54242,110462,98750,113154,ClaimReview,324965,2022-06-03,https://www.newtral.es/paro-barrios-barcelona-factcheck/20220603/
"""Los presidentes de la Generalitat, hasta hace relativamente poco, [...] cuando viajaban a Alemania, iban a Wolfsburgo, que es donde se encuentra la sede de Volkswagen""",,Claim,Salvador Illa,Líder del grupo parlamentario socialista en el Parlament catalán,Organization,PSC-PSOE,"El último ‘president’ que visitó la sede de Volkswagen en Alemania fue Pujol en 2001, no era costumbre hasta hace poco, como dice Illa","Ninguno de los cinco presidentes anteriores a Pere Aragonès visitó la sede de Volkswagen. Quim Torra y Artur Mas viajaron a Alemania, pero no hicieron parada en Wolfsburgo
",Rating,Engañoso,#ff8433,110462,98754,98796,ClaimReview,323284,2022-05-30,https://www.newtral.es/presidente-alemania-volkswagen-factcheck/20220530/
“En 2018 España ocupaba el puesto 19 en el Índice Global de Ciberseguridad [...] en cuatro años hemos avanzado 15 posiciones”,2022-05-26,Claim,Pedro Sánchez,Presidente del Gobierno,Organization,PSOE,España ha subido tres posiciones y no 15 en el Índice Global de Ciberseguridad desde 2018,"Desde el séptimo puesto de 2018 al cuarto de 2020 España ha mejorado tres posiciones en el Índice Global de Ciberseguridad que elabora periódicamente la Unión Internacional de Telecomunicaciones.
",Rating,Engañoso,#ff8433,98761,98754,98860,ClaimReview,323054,2022-05-30,https://www.newtral.es/indice-global-ciberseguridad-espana/20220530/
